Product,Consumer complaint narrative
"Credit reporting, credit repair services, or other personal consumer reports","A CHARGE OFF ON YOUR CREDIT REPORT MEANS THE DEBT IS CONSIDERED INCOME ACCORDING TO THE IRS. FCRA STATES IT IS UNLAWFUL TO REPORT INCOME ONTO YOUR CREDIT REPORT. 
Account Details Account status Closed Type Credit Card Responsibility Individual Account. 
Remarks Charged off account Times XX/XX/90 days late XXXX"
"Money transfer, virtual currency, or money service",Well I was a primary user as a cash app customer and they shut my whole account down some transactions have been takin out my account without further notice such as XXXX and etc I need all my money back asap
"Money transfer, virtual currency, or money service",I use Coin base to transfer my big coin 's and for some reason they made my bitcoin vault negative XXXX $ and they need to reset it to XXXX I can not withdraw any of my funds
Checking or savings account,My account was closed and I never received the remaining balance on that account
"Credit reporting, credit repair services, or other personal consumer reports","There is multiple business credit card inquiries on my credit report. 

I only applied for a XXXX XXXX XXXX XXXX on XX/XX/2020 and now there is inquires from other Banks."
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
"Money transfer, virtual currency, or money service",Paid {$44.00} through PayPal on XX/XX/23 and the person I sent it to turned out to be a scammer. On XX/XX/23 They asked for more money when I told them no they tried to scam me again. Told them to refund my money and they blocked me.
Credit card or prepaid card,I received a decrease in my credit card limit with out Notice after I had a complaint about this company on XX/XX/2022 They Decrease My Limit All the way down to XXXX dollars and I don't understand
Student loan,Federal XXXX XXXX XXXX have been consolidated. I can not afford. Asked for forgiveness since I am not employed. Payments have been pushed a month back with added interest.
Credit reporting or other personal consumer reports,"I am a victim of XXXX. The information listed below, which appears on my credit report, is the result of that XXXX. 

XXXX XXXX XXXX XXXX XXXXXXXX -Date opened XX/XX/year> - BALANCE {$1900.00}"
"Money transfer, virtual currency, or money service",I was able to have direct deposit but I am not allowed to transfer money from my bank PNC to the XXXX XXXX. Ive talk to my bank and the app. Each keep blaming each other
Checking or savings account,A bank account was opened fraudulently in my name. I received a letter in the mail from the bank stating insufficient funds. I have never opened an account in my name with this bank.
Credit card,I have not received a new credit card with a chip by the XXXX/XXXX/2015 deadline.
"Credit reporting, credit repair services, or other personal consumer reports",I filed for Bankruptcy XX/XX/2021. I provided Experian with a copy of my bankruptcy discharge order and copy of the creditors included in the file petition. Creditor XXXX XXXX and XXXX XXXX refuses to update credit report with bankruptcy filing and removing balance
Credit card,I had XXXX accounts with Navy Federal Credit Union. They have added XXXX to my credit reports under different account numbers. They have also re-aged these accounts.
"Credit reporting, credit repair services, or other personal consumer reports","XXXX XXXX is reporting a balance that is incorrect and has been incorrect, going on 30 days now. I have contacted them and the credit reporting agencies and have not gotten anywhere."
Credit card or prepaid card,"I never been late with this accounts, and please update it, and I always paid on time that's why this is ridiculous."
Checking or savings account,"Account charged multiple insufficient funds fees Account showed sufficient funds when making purchases, only to charge fees when the transactions were later processed"
"Credit reporting, credit repair services, or other personal consumer reports",Credit bureaus have me as a charge off from XXXX there is nothing owed to this account
